Image;Time(s);Temperature(oC)
GGQT_S6_1-00156;475.5829866500622;115.0609883757416
GGQT_S6_1-00157;476.5829866500622;115.08080622579226
GGQT_S6_1-00158;477.5829866500622;114.9104667497055
GGQT_S6_1-00159;478.5839868160015;114.96815605795624
GGQT_S6_1-00160;479.5839868160015;115.09486646800565
GGQT_S6_1-00161;480.5839868160015;114.96754609464554
GGQT_S6_1-00162;481.5839868160015;115.05596173463056
GGQT_S6_1-00163;482.5839868160015;115.04375757393647
GGQT_S6_1-00164;483.5839868160015;114.9790291153205
GGQT_S6_1-00165;484.5839868160015;114.94007851745529
GGQT_S6_1-00166;485.5839868160015;114.94744350395992
GGQT_S6_1-00167;486.5839868160015;115.07733438808256
GGQT_S6_1-00168;487.5839868160015;114.93865597122355
GGQT_S6_1-00169;488.5839868160015;115.10385533198107
GGQT_S6_1-00170;489.5839868160015;115.06009395338235
GGQT_S6_1-00171;490.5839868160015;115.0050493887468
GGQT_S6_1-00172;491.5989866824871;115.00174127934804
GGQT_S6_1-00173;492.5839868160015;114.89525914931669
GGQT_S6_1-00174;493.5839868160015;114.84698776131101
GGQT_S6_1-00175;494.5839868160015;114.94770259796876
GGQT_S6_1-00176;495.5989866824871;114.92964906347072
GGQT_S6_1-00177;496.5999866100079;115.10623016009153
GGQT_S6_1-00178;497.5839868160015;114.94656560855027
GGQT_S6_1-00179;498.5999866100079;115.07377653056618
GGQT_S6_1-00180;499.5999866100079;114.86413619579893
GGQT_S6_1-00181;500.5999866100079;115.02996254183668
GGQT_S6_1-00182;501.5999866100079;115.10032428346513
GGQT_S6_1-00183;502.5999866100079;114.90124218148895
GGQT_S6_1-00184;503.5999866100079;115.04921838166803
GGQT_S6_1-00185;504.5999866100079;115.04384814048487
GGQT_S6_1-00186;505.5849867435223;114.89039691664436
GGQT_S6_1-00187;506.5999866100079;115.08988874186329
GGQT_S6_1-00188;507.5999866100079;115.30044948415929
GGQT_S6_1-00189;508.5999866100079;114.95578347712956
GGQT_S6_1-00190;509.5999866100079;115.06392571323173
GGQT_S6_1-00191;510.5999866100079;114.75680565152216
GGQT_S6_1-00192;511.5999866100079;115.05343351469122
GGQT_S6_1-00193;512.5999866100078;114.9013435865371
GGQT_S6_1-00194;513.5999866100078;114.83847527321667
GGQT_S6_1-00195;514.5999866100078;115.21750802627294
GGQT_S6_1-00196;515.5999866100078;114.9578235113033
GGQT_S6_1-00197;516.5999866100078;114.93948868619435
GGQT_S6_1-00198;517.5999866100078;115.10386199225688
GGQT_S6_1-00199;518.5999866100078;114.96884210323495
GGQT_S6_1-00200;519.5999866100078;114.90263382604292
GGQT_S6_1-00201;520.5999866100078;115.22737886141597
GGQT_S6_1-00202;521.5999866100078;115.06422119867413
GGQT_S6_1-00203;525.6939867110973;115.0882592978169
GGQT_S6_1-00204;530.3039866061931;115.02004606457186
GGQT_S6_1-00205;534.8979867072826;149.08353771431084
GGQT_S6_1-00206;539.6009867759471;195.84736164007276
GGQT_S6_1-00207;544.1939867110973;241.79029141201627
GGQT_S6_1-00208;548.8979867072826;250.57586367670947
GGQT_S6_1-00209;553.5069866748577;250.08724683164357
GGQT_S6_1-00210;558.194986638618;250.0992740855654
GGQT_S6_1-00211;562.8039866061931;250.0512934729866
GGQT_S6_1-00212;567.5079866023784;249.96880138087974
GGQT_S6_1-00213;572.1009867759471;250.02728851376168
GGQT_S6_1-00214;576.8049867721325;250.00733770020057
GGQT_S6_1-00215;581.4139867397075;250.02134228782472
GGQT_S6_2-00001;590.5239866348034;249.9362170249802
GGQT_S6_2-00002;594.9139867397075;249.8993439398394
GGQT_S6_2-00003;598.6179867358928;249.9899673763631
GGQT_S6_2-00004;603.2119865985637;250.02423932468844
GGQT_S6_2-00005;607.8209868045574;250.075745
